,name,registered,registrant,expiry
476,Aaden,0,,
1237,Aadhya,1,0x9A019757599F6a5Ece0cFa454c7752bEe98f21c8,2022-08-16 09:54:00
783,Aaliyah,0,,
184,Aarav,1,0x34cd8a21E92b0Abd558Ff02D6cc7a9e12DAf0ff1,2020-10-15 19:53:00
1595,Aaron,1,0x7C25a8C86A04f40F2Db0434ab3A24b051FB3cA58,2021-10-18 14:16:00
695,Abby,0,,
1646,Abdiel,0,,
122,Abdullah,1,0x84133b011Fe4eD6C7E5008FFC786f6626069DF4B,2023-05-04 19:27:00
225,Abel,1,0xDDd3964D75D59B6B6d5c31eB313BBA5EBF076364,2020-11-30 05:47:00
1247,Abigail,1,0xC3fb628db651017524CB419051704e75494A26Fa,2021-08-31 03:35:00
1699,Abraham,1,0xDDd3964D75D59B6B6d5c31eB313BBA5EBF076364,2021-08-30 01:38:00
1163,Abram,1,0xDDd3964D75D59B6B6d5c31eB313BBA5EBF076364,2021-11-06 10:35:00
748,Abril,1,0x5e091926f17389d72339c29B1034625982d2b82d,2020-11-07 06:58:00
1911,Ace,1,0xfA45C6991a2C3d74ada3A279E21135133CE3Da8A,2020-11-06 15:58:00
954,Achilles,1,0x6f35B0Cfc58Eb1e21eeF8a439BbB0cE4C929d32a,2021-05-04 07:49:00
106,Ada,1,0xDDd3964D75D59B6B6d5c31eB313BBA5EBF076364,2021-08-03 04:48:00
1905,Adaline,0,,
100,Adalyn,1,0xbCBD4885EE8B2b74249C5AD9B8B668fb256a51B1,2021-07-11 11:15:00
1718,Adalynn,0,,
941,Adam,1,0x9b530388C920f6b1dD3d05AEFb9B4650Fe388B2F,2021-10-20 02:22:00
1049,Adan,0,,
1202,Addilyn,0,,
383,Addilynn,0,,
1475,Addison,1,0x8E8A0cbeC5F6e73710aA9b12A6a1370C9cdcd341,2021-05-04 07:49:00
823,Addisyn,0,,
444,Addyson,0,,
1393,Adelaide,1,0x1f9c6Ea5159c8D973294EB19b145b6c3FAb39dd0,2021-08-30 05:32:00
1310,Adele,1,0x9b530388C920f6b1dD3d05AEFb9B4650Fe388B2F,2020-10-16 13:48:00
1308,Adelina,0,,
329,Adeline,1,0xC3fb628db651017524CB419051704e75494A26Fa,2021-10-11 08:51:00
1455,Adelyn,0,,
400,Adelynn,0,,
1316,Aden,0,,
491,Adilynn,0,,
824,Adley,0,,
1391,Adonis,1,0xDDd3964D75D59B6B6d5c31eB313BBA5EBF076364,2020-11-30 20:38:00
185,Adrian,1,0xcFCa8f21F164c29F87B5cb06D5Ad938AE565Ca11,2023-10-16 12:26:00
1407,Adriana,1,0xbb46bE602D82F3209B6392130B5BBd40D78df339,2025-05-04 07:06:00
798,Adrianna,0,,
1784,Adriel,1,0xDDd3964D75D59B6B6d5c31eB313BBA5EBF076364,2020-11-30 19:49:00
226,Adrien,1,0x5918081229f578924EDca723d27F79Ffae22800E,2020-10-15 13:51:00
483,Adrienne,1,0xC3fb628db651017524CB419051704e75494A26Fa,2021-08-31 03:55:00
1286,Agustin,1,0xFd72FAc7D08F9912E5D02091417304D5a0072E2b,2021-08-31 17:52:00
1185,Ahmad,1,0x0b411E641A36bE7A99f9A86C2Fbb8eEc3eE560F3,2022-10-17 14:59:00
1133,Ahmed,1,0x0b411E641A36bE7A99f9A86C2Fbb8eEc3eE560F3,2024-10-15 06:52:00
239,Aidan,1,0x2e840Df4F5042A419e2E09fba582359E1E46599b,2026-11-06 14:59:00
176,Aiden,1,0x34cd8a21E92b0Abd558Ff02D6cc7a9e12DAf0ff1,2020-10-16 18:49:00
1254,Ailani,0,,
286,Aileen,0,,
1262,Ainsley,0,,
1815,Aisha,1,0x9b530388C920f6b1dD3d05AEFb9B4650Fe388B2F,2020-10-17 16:46:00
1895,Aitana,1,0x5e091926f17389d72339c29B1034625982d2b82d,2020-11-07 07:32:00
240,Aiyana,0,,
72,Alaia,0,,
489,Alaina,1,0xbCBD4885EE8B2b74249C5AD9B8B668fb256a51B1,2021-07-11 11:15:00
1697,Alan,1,0xcDc2853caF2Fa0c075A89199c2926588D3DA6A75,2021-10-23 09:37:00
910,Alana,1,0x6a05f40eD1bF7C461284ef7a98A292B5d0Ab300D,2022-11-09 21:10:00
1833,Alani,0,,
945,Alanna,0,,
382,Alannah,0,,
705,Alaric,0,,
966,Alaya,1,0x242EAee57A433323E3b91Ade6d2b4801c94d60f9,2021-04-21 17:00:00
228,Alayah,0,,
274,Alayna,0,,
